,Product Name,Price,Description,Ratings
221,"Kelvinator 8 kg Semi Automatic Top Load Maroon, White","₹11,490",1320 rpm Max Speed5 Star Rating2 Years Manufacturer Warranty,4.3
222,"SAMSUNG 7 kg Semi Automatic Top Load White, Blue, Grey","₹11,769",1300 rpm Max Speed5 Star Rating2 Years on Product and 5 Years Warranty on Motor,4.2
223,Equator 10.2 kg Fully Automatic Top Load Beige,"₹22,990",800 RPM Max Speed4 Star Rating2 Years Warranty on Parts and Labour from Equator,4.4
224,"SAMSUNG 6.5 kg Semi Automatic Top Load White, Blue, Grey","₹10,900",700 RPM Max Speed5 Star Rating2 Years on Product and 5 Years Warranty on Motor,4.3
225,Kelvinator 7.5 kg Semi Automatic Top Load Maroon,"₹10,390",1450 RPM Max Speed5 Star Rating1 Years Warranty on Product,4.3
226,"ONIDA 7.5 kg 5 star Semi Automatic Top Load Blue, White","₹8,790","1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 7 Years Warranty on Motor",4.2
227,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
228,Whirlpool 6.2 kg Hard Water wash Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Whirlpool.,4.4
229,"CANDY 7 kg Fully Automatic Top Load Brown, Grey","₹14,715",800 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor from Candy,4.3
230,"Singer 10 kg Semi Automatic Top Load White, Blue","₹12,690",1350 RPM Max Speed5 Star Rating2 Years on Product and 5 Years on Wash and Spin Motor,4.2
231,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.3
232,CANDY 6.5 kg Fully Automatic Top Load Grey,"₹12,600",800 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor from Candy,4.4
233,"LG 7 kg Semi Automatic Top Load Maroon, White","₹13,919",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,4.2
234,LG 7 kg Semi Automatic Top Load Red,"₹14,199",1300 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor from LG,4.3
235,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.2833520021873275
236,"Godrej 7.5 kg Semi Automatic Top Load White, Purple","₹11,290",1400 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Godrej,4.2833520021873275
237,"SAMSUNG 7 kg Semi Automatic Top Load White, Grey, Purple","₹11,300",1300 rpm Max Speed5 Star Rating2 Years on Product and 5 Years Warranty on Motor,4.2833520021873275
238,Midea 7 kg 5 Star Fully Automatic Top Load Grey,"₹13,990",680 rpm Max Speed5 Star Rating2 Years Warranty on Product,4.283352002187328
239,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.283352002187328
